"  User:  Javier Ressogola    Last Refresh:  Saturday, November 1, 2025, 0:00:00",,,,,,,
OrderID,CustomerID,CustomerName,ProductID,Quantity,OrderDate,RequestedDeliveryDate,Comments
O172043,C0806,Customer 806,P0473,14,10-20-2025,2025-10-29,Inform customer once order is sent
O172044,C0375,Customer 375,P0227,16,01/10/2025,10-03-2025,Pay in 90 days
O172045,C0853,Customer 853,P0811,20,28/10/2025,11-05-2025,Inform customer once order is sent
O172046,C0351,Customer 351,P0541,5,2025-10-23,2025-11-01,Inform customer once order is sent
O172047,C0129,Customer 129,P0074,14,2025-10-28,04/11/2025,
O172048,C0251,Customer 251,P0734,20,2025-10-20,10-29-2025,Pay in 90 days
O172049,C0317,Customer 317,P0813,17,21/10/2025,2025-10-26,Inform customer once order is sent
O172050,C0507,Customer 507,P0019,13,10-19-2025,21/10/2025,Pay in 90 days
O172051,C0501,Customer 501,P0179,4,2025-10-04,05/10/2025,Inform customer once order is sent
O172052,C0202,Customer 202,P0711,19,10-15-2025,2025-10-24,
O172053,C0656,Customer 656,P0119,15,10-04-2025,13/10/2025,Inform customer once order is sent
O172054,C0036,Customer 36,P0872,18,22/10/2025,30/10/2025,Pay in 90 days
O172055,C0638,Customer 638,P0708,6,2025-10-12,14/10/2025,Inform customer once order is sent
O172056,C0876,Customer 876,P0851,17,10-23-2025,30/10/2025,Inform customer once order is sent
O172057,C0765,Customer 765,P0668,16,2025-10-20,2025-10-29,
O172058,C0619,Customer 619,P0709,16,2025-10-27,10-30-2025,Inform customer once order is sent
O172059,C0490,Customer 490,P0294,5,10-28-2025,11-01-2025,Pay in 90 days
O172060,C0468,Customer 468,P0259,3,2025-10-12,10-13-2025,Inform customer once order is sent
O172061,C0263,Customer 263,P0157,15,2025-10-07,2025-10-10,
O172062,C0226,Customer 226,P0059,20,24/10/2025,28/10/2025,Pay in 90 days
O172063,C0045,Customer 45,P0799,18,23/10/2025,10-26-2025,Inform customer once order is sent
O172064,C0083,Customer 83,P0005,14,10/10/2025,2025-10-19,Inform customer once order is sent
O172065,C0802,Customer 802,P0781,5,2025-10-10,10-20-2025,Pay in 90 days
O172066,C0009,Customer 9,P0809,6,10-02-2025,2025-10-12,
O172067,C0218,Customer 218,P0438,8,22/10/2025,10-29-2025,Inform customer once order is sent
O172068,C0679,Customer 679,P0173,20,10-09-2025,10/10/2025,Pay in 90 days
O172069,C0039,Customer 39,P0531,11,23/10/2025,29/10/2025,
O172070,C0824,Customer 824,P0871,2,2025-10-01,06/10/2025,Pay in 90 days
O172071,C0445,Customer 445,P0223,9,2025-10-07,10-08-2025,
O172072,C0943,Customer 943,P0056,14,10-05-2025,2025-10-15,Pay in 90 days
O172073,C0145,Customer 145,P0209,8,10-27-2025,2025-11-06,
O172074,C0632,Customer 632,P0405,6,02/10/2025,2025-10-08,
O172075,C0807,Customer 807,P0042,2,10-20-2025,25/10/2025,Pay in 90 days
O172076,C0235,Customer 235,P0882,1,01/10/2025,2025-10-11,
O172077,C0903,Customer 903,P0433,11,10-18-2025,2025-10-23,
O172078,C0274,Customer 274,P0648,4,2025-10-21,2025-10-24,
O172079,C0936,Customer 936,P0718,3,23/10/2025,01/11/2025,
O172080,C0982,Customer 982,P0441,1,2025-10-17,10-18-2025,Pay in 90 days
O172081,C0228,Customer 228,P0147,14,19/10/2025,28/10/2025,Pay in 90 days
O172082,C0292,Customer 292,P0431,5,2025-10-22,2025-10-27,Inform customer once order is sent
O172083,C0809,Customer 809,P0163,14,10-11-2025,16/10/2025,Inform customer once order is sent
O172084,C0200,Customer 200,P0225,12,2025-10-10,2025-10-18,
O172085,C0124,Customer 124,P0263,2,2025-10-17,10-27-2025,Inform customer once order is sent
O172086,C0832,Customer 832,P0166,18,13/10/2025,10-14-2025,
O172087,C0837,Customer 837,P0098,4,2025-10-19,20/10/2025,Inform customer once order is sent
O172088,C0697,Customer 697,P0305,17,28/10/2025,2025-11-02,Inform customer once order is sent
O172089,C0782,Customer 782,P0506,5,12/10/2025,10-19-2025,Inform customer once order is sent
O172090,C0090,Customer 90,P0070,5,19/10/2025,25/10/2025,Inform customer once order is sent
O172091,C0202,Customer 202,P0579,18,2025-10-07,2025-10-16,
O172092,C0103,Customer 103,P0270,15,06/10/2025,10/10/2025,Pay in 90 days
O172093,C0409,Customer 409,P0542,2,27/10/2025,11-05-2025,Pay in 90 days
O172094,C0500,Customer 500,P0065,2,2025-10-07,11/10/2025,
O172095,C0271,Customer 271,P0703,15,10-19-2025,25/10/2025,Inform customer once order is sent
O172096,C0990,Customer 990,P0263,13,15/10/2025,2025-10-22,
O172097,C0228,Customer 228,P0841,6,2025-10-20,2025-10-21,Inform customer once order is sent
O172098,C0797,Customer 797,P0301,4,28/10/2025,31/10/2025,Inform customer once order is sent
O172099,C0412,Customer 412,P0738,17,07/10/2025,2025-10-16,Inform customer once order is sent
O172100,C0154,Customer 154,P0378,8,10-01-2025,2025-10-08,
O172101,C0929,Customer 929,P0739,3,04/10/2025,10/10/2025,Inform customer once order is sent
O172102,C0117,Customer 117,P0283,20,2025-10-26,2025-10-27,
O172103,C0339,Customer 339,P0369,16,20/10/2025,2025-10-23,Pay in 90 days
O172104,C0250,Customer 250,P0593,18,2025-10-22,10-31-2025,
O172105,C0728,Customer 728,P0219,8,10-19-2025,10-23-2025,Inform customer once order is sent
O172106,C0615,Customer 615,P0127,5,10-07-2025,13/10/2025,Inform customer once order is sent
O172107,C0058,Customer 58,P0267,14,2025-10-26,2025-10-27,Pay in 90 days
O172108,C0381,Customer 381,P0113,7,03/10/2025,10-11-2025,
O172109,C0663,Customer 663,P0732,13,2025-10-16,10-19-2025,Inform customer once order is sent
O172110,C0784,Customer 784,P0208,13,10-19-2025,2025-10-28,Inform customer once order is sent
O172111,C0573,Customer 573,P0322,1,2025-10-08,2025-10-11,
O172112,C0886,Customer 886,P0417,3,15/10/2025,10-25-2025,Inform customer once order is sent
O172113,C0372,Customer 372,P0366,18,24/10/2025,2025-10-27,Pay in 90 days
O172114,C0493,Customer 493,P0380,6,2025-10-20,10-21-2025,
O172115,C0519,Customer 519,P0025,5,09/10/2025,10-19-2025,Pay in 90 days
O172116,C0335,Customer 335,P0859,20,2025-10-28,2025-11-06,Inform customer once order is sent
O172117,C0230,Customer 230,P0381,18,21/10/2025,2025-10-30,
O172118,C0337,Customer 337,P0357,9,16/10/2025,20/10/2025,Pay in 90 days
O172119,C0975,Customer 975,P0744,6,2025-10-13,10-17-2025,Pay in 90 days
O172120,C0955,Customer 955,P0063,20,10-04-2025,10-11-2025,
O172121,C0489,Customer 489,P0679,6,10-16-2025,2025-10-24,Pay in 90 days
O172122,C0954,Customer 954,P0401,5,06/10/2025,2025-10-09,Inform customer once order is sent
O172123,C0475,Customer 475,P0429,15,2025-10-13,22/10/2025,Pay in 90 days
O172124,C0409,Customer 409,P0416,20,10-06-2025,09/10/2025,
O172125,C0356,Customer 356,P0065,19,2025-10-21,2025-10-27,
O172126,C0037,Customer 37,P0659,14,2025-10-01,11/10/2025,Inform customer once order is sent
O172127,C0996,Customer 996,P0352,14,2025-10-09,2025-10-19,Pay in 90 days
O172128,C0063,Customer 63,P0201,20,10-27-2025,04/11/2025,
O172129,C0004,Customer 4,P0018,5,10-19-2025,2025-10-20,Inform customer once order is sent
O172130,C0322,Customer 322,P0227,20,14/10/2025,2025-10-21,Pay in 90 days
O172131,C0995,Customer 995,P0391,1,2025-10-17,2025-10-27,Pay in 90 days
O172132,C0856,Customer 856,P0634,4,2025-10-17,24/10/2025,
O172133,C0030,Customer 30,P0664,16,25/10/2025,11-04-2025,Inform customer once order is sent
O172134,C0190,Customer 190,P0188,17,27/10/2025,03/11/2025,Inform customer once order is sent
O172135,C0413,Customer 413,P0644,13,10-18-2025,10-26-2025,
O172136,C0678,Customer 678,P0552,3,2025-10-19,22/10/2025,Inform customer once order is sent
O172137,C0545,Customer 545,P0580,1,10-28-2025,11-02-2025,Pay in 90 days
O172138,C0356,Customer 356,P0080,18,11/10/2025,10-19-2025,Inform customer once order is sent
O172139,C0967,Customer 967,P0552,3,10-16-2025,10-21-2025,
O172140,C0728,Customer 728,P0577,17,2025-10-17,25/10/2025,
O172141,C0682,Customer 682,P0395,18,24/10/2025,03/11/2025,
O172142,C0331,Customer 331,P0653,7,10-16-2025,10-26-2025,Inform customer once order is sent
O172143,C0344,Customer 344,P0257,2,2025-10-12,10-16-2025,Pay in 90 days
O172144,C0168,Customer 168,P0484,17,10-08-2025,2025-10-13,Pay in 90 days
O172145,C0933,Customer 933,P0515,12,10-12-2025,17/10/2025,Pay in 90 days
O172146,C0590,Customer 590,P0398,6,2025-10-28,10-30-2025,
O172147,C0192,Customer 192,P0248,13,23/10/2025,31/10/2025,Pay in 90 days
O172148,C0571,Customer 571,P0688,16,2025-10-06,10-08-2025,
O172149,C0860,Customer 860,P0811,16,2025-10-15,2025-10-19,Pay in 90 days
O172150,C0365,Customer 365,P0599,14,09/10/2025,16/10/2025,Pay in 90 days
O172151,C0808,Customer 808,P0334,19,2025-10-08,12/10/2025,
O172152,C0680,Customer 680,P0851,4,12/10/2025,2025-10-14,Inform customer once order is sent
O172153,C0914,Customer 914,P0578,19,07/10/2025,2025-10-15,Inform customer once order is sent
O172154,C0724,Customer 724,P0817,7,2025-10-13,10-21-2025,
O172155,C0646,Customer 646,P0103,6,10-21-2025,10-23-2025,Inform customer once order is sent
O172156,C0741,Customer 741,P0750,11,2025-10-03,06/10/2025,Pay in 90 days
O172157,C0211,Customer 211,P0004,3,09/10/2025,16/10/2025,
O172158,C0911,Customer 911,P0233,11,10-12-2025,18/10/2025,Inform customer once order is sent
O172159,C0577,Customer 577,P0124,19,10-05-2025,2025-10-12,Pay in 90 days
O172160,C0873,Customer 873,P0158,19,2025-10-23,27/10/2025,Inform customer once order is sent
O172161,C0964,Customer 964,P0449,15,28/10/2025,10-29-2025,Pay in 90 days
O172162,C0112,Customer 112,P0546,13,10-07-2025,2025-10-17,Pay in 90 days
O172163,C0025,Customer 25,P0232,1,14/10/2025,2025-10-17,Inform customer once order is sent
O172164,C0066,Customer 66,P0718,4,2025-10-11,17/10/2025,Inform customer once order is sent
O172165,C0650,Customer 650,P0707,12,2025-10-01,03/10/2025,
O172166,C0057,Customer 57,P0646,2,10-28-2025,2025-11-07,Inform customer once order is sent
O172167,C0653,Customer 653,P0460,6,18/10/2025,19/10/2025,
O172168,C0080,Customer 80,P0091,11,2025-10-06,15/10/2025,
O172169,C0741,Customer 741,P0125,14,10-28-2025,11-07-2025,Inform customer once order is sent
O172170,C0507,Customer 507,P0342,13,10-25-2025,2025-10-30,
O172171,C0862,Customer 862,P0121,20,2025-10-20,10-25-2025,
O172172,C0874,Customer 874,P0464,13,19/10/2025,10-24-2025,Pay in 90 days
O172173,C0607,Customer 607,P0102,2,2025-10-20,2025-10-29,
O172174,C0458,Customer 458,P0661,20,10-21-2025,10-26-2025,
O172175,C0832,Customer 832,P0046,16,07/10/2025,10/10/2025,Pay in 90 days
O172176,C0341,Customer 341,P0368,13,10-28-2025,2025-11-06,Inform customer once order is sent
O172177,C0514,Customer 514,P0661,10,01/10/2025,05/10/2025,Inform customer once order is sent
O172178,C0634,Customer 634,P0799,20,02/10/2025,10-11-2025,Pay in 90 days
O172179,C0684,Customer 684,P0080,10,10-04-2025,09/10/2025,Inform customer once order is sent
O172180,C0076,Customer 76,P0437,5,2025-10-19,10-23-2025,
O172181,C0878,Customer 878,P0372,18,10-26-2025,2025-10-29,Pay in 90 days
O172182,C0440,Customer 440,P0471,10,09/10/2025,13/10/2025,Inform customer once order is sent
O172183,C0005,Customer 5,P0005,16,10-03-2025,10-12-2025,
O172184,C0543,Customer 543,P0541,16,19/10/2025,2025-10-24,
O172185,C0449,Customer 449,P0277,5,10-19-2025,2025-10-24,
O172186,C0360,Customer 360,P0206,14,10-24-2025,2025-10-29,Pay in 90 days
O172187,C0795,Customer 795,P0613,4,10-28-2025,2025-11-07,
O172188,C0806,Customer 806,P0589,13,20/10/2025,10-27-2025,Pay in 90 days
O172189,C0766,Customer 766,P0728,3,10-09-2025,10-11-2025,Inform customer once order is sent
O172190,C0394,Customer 394,P0424,12,06/10/2025,2025-10-12,
O172191,C0965,Customer 965,P0407,19,2025-10-26,05/11/2025,Pay in 90 days
O172192,C0931,Customer 931,P0582,20,2025-10-24,25/10/2025,Inform customer once order is sent
O172193,C0769,Customer 769,P0341,13,06/10/2025,07/10/2025,Pay in 90 days
O172194,C0736,Customer 736,P0412,15,2025-10-17,19/10/2025,Inform customer once order is sent
O172195,C0918,Customer 918,P0358,13,2025-10-13,10-23-2025,Pay in 90 days
O172196,C0591,Customer 591,P0567,9,2025-10-06,2025-10-08,Inform customer once order is sent
O172197,C0398,Customer 398,P0889,12,19/10/2025,2025-10-28,Inform customer once order is sent
O172198,C0276,Customer 276,P0155,20,10-02-2025,2025-10-04,
O172199,C0734,Customer 734,P0841,16,2025-10-04,10-06-2025,
O172200,C0286,Customer 286,P0681,12,10-10-2025,10-12-2025,Pay in 90 days
O172201,C0615,Customer 615,P0265,14,2025-10-21,10-27-2025,Pay in 90 days
O172202,C0688,Customer 688,P0520,14,10-23-2025,11-01-2025,Pay in 90 days
O172203,C0492,Customer 492,P0122,16,10-10-2025,2025-10-16,
O172204,C0696,Customer 696,P0121,11,2025-10-24,31/10/2025,
O172205,C0733,Customer 733,P0060,2,2025-10-09,17/10/2025,
O172206,C0886,Customer 886,P0104,15,13/10/2025,14/10/2025,
O172207,C0882,Customer 882,P0417,7,10-28-2025,2025-11-03,Pay in 90 days
O172208,C0457,Customer 457,P0518,7,2025-10-22,10-26-2025,Inform customer once order is sent
O172209,C0201,Customer 201,P0661,11,22/10/2025,2025-10-25,Pay in 90 days
O172210,C0178,Customer 178,P0282,12,10-24-2025,10-29-2025,
O172211,C0271,Customer 271,P0789,15,09/10/2025,2025-10-14,
O172212,C0575,Customer 575,P0657,14,2025-10-17,10-18-2025,
O172213,C0513,Customer 513,P0644,15,2025-10-17,22/10/2025,Inform customer once order is sent
O172214,C0298,Customer 298,P0866,14,10-25-2025,2025-10-30,
O172215,C0236,Customer 236,P0624,6,19/10/2025,27/10/2025,Pay in 90 days
O172216,C0800,Customer 800,P0506,18,10-14-2025,15/10/2025,Pay in 90 days
O172217,C0911,Customer 911,P0252,11,10-19-2025,21/10/2025,Pay in 90 days
O172218,C0312,Customer 312,P0332,3,06/10/2025,10-13-2025,Inform customer once order is sent
O172219,C0903,Customer 903,P0875,14,10-25-2025,2025-10-28,Inform customer once order is sent
O172220,C0913,Customer 913,P0620,13,2025-10-16,10-18-2025,
O172221,C0106,Customer 106,P0675,14,2025-10-04,10-05-2025,
O172222,C0512,Customer 512,P0354,8,10-12-2025,10-21-2025,Pay in 90 days
O172223,C0625,Customer 625,P0611,10,2025-10-01,10-09-2025,Pay in 90 days
O172224,C0386,Customer 386,P0813,17,2025-10-18,10-27-2025,Inform customer once order is sent
O172225,C0668,Customer 668,P0575,13,10-12-2025,2025-10-21,Inform customer once order is sent
O172226,C0192,Customer 192,P0162,18,02/10/2025,08/10/2025,Pay in 90 days
O172227,C0358,Customer 358,P0107,19,14/10/2025,16/10/2025,Inform customer once order is sent
O172228,C0781,Customer 781,P0141,2,01/10/2025,02/10/2025,Inform customer once order is sent
O172229,C0401,Customer 401,P0569,11,10/10/2025,2025-10-18,Inform customer once order is sent
O172230,C0677,Customer 677,P0707,6,10-08-2025,2025-10-16,
O172231,C0674,Customer 674,P0528,2,22/10/2025,2025-10-31,Pay in 90 days
O172232,C0476,Customer 476,P0012,12,04/10/2025,2025-10-06,
O172233,C0108,Customer 108,P0834,7,2025-10-17,2025-10-19,
O172234,C0591,Customer 591,P0289,15,10-05-2025,10-07-2025,Pay in 90 days
O172235,C0497,Customer 497,P0673,12,18/10/2025,20/10/2025,Pay in 90 days
O172236,C0776,Customer 776,P0249,6,2025-10-14,10-24-2025,Pay in 90 days
O172237,C0675,Customer 675,P0062,10,10-14-2025,17/10/2025,Pay in 90 days
O172238,C0600,Customer 600,P0005,7,15/10/2025,10-17-2025,Inform customer once order is sent
O172239,C0738,Customer 738,P0788,2,10-10-2025,10-16-2025,Pay in 90 days
O172240,C0109,Customer 109,P0219,15,10-25-2025,2025-10-27,Pay in 90 days
O172241,C0191,Customer 191,P0568,20,25/10/2025,10-28-2025,Inform customer once order is sent
O172242,C0983,Customer 983,P0313,5,2025-10-11,2025-10-12,
O172243,C0819,Customer 819,P0783,19,10-12-2025,10-13-2025,Pay in 90 days
O172244,C0361,Customer 361,P0591,11,25/10/2025,02/11/2025,Inform customer once order is sent
O172245,C0279,Customer 279,P0715,15,2025-10-14,10-19-2025,
O172246,C0482,Customer 482,P0013,13,20/10/2025,10-27-2025,Pay in 90 days
O172247,C0185,Customer 185,P0760,18,01/10/2025,10-05-2025,Inform customer once order is sent
O172248,C0497,Customer 497,P0567,8,2025-10-24,2025-11-03,Pay in 90 days
O172249,C0912,Customer 912,P0157,11,10-27-2025,11-05-2025,Inform customer once order is sent
O172250,C0563,Customer 563,P0424,7,10-18-2025,2025-10-27,Pay in 90 days
O172251,C0242,Customer 242,P0519,18,26/10/2025,2025-11-03,
O172252,C0128,Customer 128,P0137,13,04/10/2025,10-12-2025,
O172253,C0866,Customer 866,P0676,17,28/10/2025,2025-11-04,Pay in 90 days
O172254,C0212,Customer 212,P0759,3,2025-10-21,25/10/2025,
O172255,C0269,Customer 269,P0768,3,2025-10-14,10-15-2025,Inform customer once order is sent
O172256,C0465,Customer 465,P0770,9,2025-10-12,2025-10-14,
O172257,C0892,Customer 892,P0895,17,2025-10-02,10-09-2025,Pay in 90 days
O172258,C0814,Customer 814,P0304,19,03/10/2025,08/10/2025,
O172259,C0385,Customer 385,P0330,2,2025-10-05,10-08-2025,
O172260,C0625,Customer 625,P0185,7,02/10/2025,2025-10-08,
O172261,C0791,Customer 791,P0287,2,10-07-2025,2025-10-17,
O172262,C0383,Customer 383,P0223,4,13/10/2025,2025-10-23,
O172263,C0394,Customer 394,P0549,17,2025-10-08,2025-10-13,Inform customer once order is sent
O172264,C0785,Customer 785,P0441,8,10-22-2025,2025-10-31,Pay in 90 days
O172265,C0587,Customer 587,P0185,20,16/10/2025,10-22-2025,Pay in 90 days
O172266,C0472,Customer 472,P0334,8,2025-10-15,2025-10-20,
O172267,C0181,Customer 181,P0658,5,2025-10-26,10-27-2025,
O172268,C0890,Customer 890,P0599,9,06/10/2025,2025-10-07,
O172269,C0227,Customer 227,P0354,8,10-16-2025,2025-10-23,
O172270,C0771,Customer 771,P0351,2,21/10/2025,27/10/2025,
O172271,C0558,Customer 558,P0779,7,01/10/2025,09/10/2025,Pay in 90 days
O172272,C0974,Customer 974,P0602,14,03/10/2025,10-06-2025,Pay in 90 days
O172273,C0851,Customer 851,P0048,11,2025-10-26,2025-10-30,Inform customer once order is sent
O172274,C0292,Customer 292,P0873,14,2025-10-14,2025-10-18,Pay in 90 days
O172275,C0013,Customer 13,P0175,7,2025-10-22,27/10/2025,
O172276,C0521,Customer 521,P0199,15,10-16-2025,20/10/2025,Pay in 90 days
O172277,C0187,Customer 187,P0623,16,2025-10-21,25/10/2025,Inform customer once order is sent
O172278,C0909,Customer 909,P0327,17,10-22-2025,31/10/2025,
O172279,C0486,Customer 486,P0505,6,20/10/2025,26/10/2025,Pay in 90 days
O172280,C0138,Customer 138,P0058,6,02/10/2025,11/10/2025,
O172281,C0843,Customer 843,P0863,4,02/10/2025,10/10/2025,
O172282,C0473,Customer 473,P0528,2,21/10/2025,29/10/2025,Inform customer once order is sent
O172283,C0221,Customer 221,P0768,19,10-13-2025,2025-10-17,Inform customer once order is sent
O172284,C0769,Customer 769,P0203,11,10-02-2025,2025-10-10,
O172285,C0414,Customer 414,P0653,10,2025-10-10,12/10/2025,Inform customer once order is sent
O172286,C0694,Customer 694,P0279,19,2025-10-02,2025-10-06,Inform customer once order is sent
O172287,C0440,Customer 440,P0512,13,08/10/2025,2025-10-13,
O172288,C0249,Customer 249,P0550,12,2025-10-18,10-24-2025,
O172289,C0522,Customer 522,P0847,5,01/10/2025,10-11-2025,
O172290,C0592,Customer 592,P0803,13,2025-10-28,2025-10-31,
O172291,C0216,Customer 216,P0031,11,10-12-2025,2025-10-16,Pay in 90 days
O172292,C0984,Customer 984,P0641,10,2025-10-19,10-20-2025,
O172293,C0944,Customer 944,P0139,10,18/10/2025,10-22-2025,Inform customer once order is sent
O172294,C0645,Customer 645,P0589,2,21/10/2025,10-24-2025,
O172295,C0020,Customer 20,P0210,5,10/10/2025,10-16-2025,Pay in 90 days
O172296,C0752,Customer 752,P0629,14,28/10/2025,2025-11-05,Inform customer once order is sent
O172297,C0513,Customer 513,P0767,6,10-11-2025,10-13-2025,
O172298,C0772,Customer 772,P0638,5,10-28-2025,11-04-2025,
O172299,C0789,Customer 789,P0230,11,2025-10-09,17/10/2025,
O172300,C0456,Customer 456,P0106,2,10-16-2025,18/10/2025,Inform customer once order is sent
O172301,C0568,Customer 568,P0755,1,25/10/2025,02/11/2025,
O172302,C0873,Customer 873,P0205,16,2025-10-24,10-28-2025,
O172303,C0253,Customer 253,P0557,11,10-04-2025,07/10/2025,
O172304,C0027,Customer 27,P0286,8,2025-10-19,10-24-2025,
O172305,C0426,Customer 426,P0869,5,2025-10-10,2025-10-19,
O172306,C0574,Customer 574,P0411,8,10-13-2025,2025-10-19,Pay in 90 days
O172307,C0580,Customer 580,P0521,3,2025-10-15,24/10/2025,Pay in 90 days
O172308,C0624,Customer 624,P0296,18,10-26-2025,10-27-2025,
O172309,C0916,Customer 916,P0279,14,10-09-2025,10-10-2025,
O172310,C0723,Customer 723,P0010,4,10-10-2025,10-18-2025,Pay in 90 days
O172311,C0507,Customer 507,P0110,1,22/10/2025,2025-10-27,
O172312,C0058,Customer 58,P0147,8,10-22-2025,01/11/2025,Inform customer once order is sent
O172313,C0866,Customer 866,P0316,8,2025-10-23,2025-10-28,Pay in 90 days
O172314,C0005,Customer 5,P0468,5,10-15-2025,10-16-2025,Inform customer once order is sent
O172315,C0522,Customer 522,P0783,14,03/10/2025,2025-10-04,Inform customer once order is sent
O172316,C0521,Customer 521,P0019,11,03/10/2025,2025-10-06,
O172317,C0480,Customer 480,P0025,12,10-04-2025,10-08-2025,Pay in 90 days
O172318,C0181,Customer 181,P0754,13,10-27-2025,2025-11-01,Pay in 90 days
O172319,C0864,Customer 864,P0694,18,18/10/2025,2025-10-22,Inform customer once order is sent
O172320,C0975,Customer 975,P0063,2,15/10/2025,22/10/2025,
O172321,C0260,Customer 260,P0545,14,10-02-2025,2025-10-03,Pay in 90 days
O172322,C0551,Customer 551,P0774,11,06/10/2025,10-12-2025,Inform customer once order is sent
O172323,C0176,Customer 176,P0151,15,23/10/2025,27/10/2025,Pay in 90 days
O172324,C0558,Customer 558,P0472,10,10-22-2025,10-28-2025,Inform customer once order is sent
O172325,C0319,Customer 319,P0481,16,23/10/2025,10-27-2025,Pay in 90 days
O172326,C0878,Customer 878,P0066,17,10-03-2025,11/10/2025,
O172327,C0236,Customer 236,P0495,19,10-17-2025,18/10/2025,Inform customer once order is sent
O172328,C0743,Customer 743,P0807,3,12/10/2025,16/10/2025,
O172329,C0892,Customer 892,P0060,20,2025-10-18,10-21-2025,Inform customer once order is sent
O172330,C0667,Customer 667,P0297,16,2025-10-27,10-31-2025,
O172331,C0778,Customer 778,P0140,6,26/10/2025,11-01-2025,Inform customer once order is sent
O172332,C0200,Customer 200,P0799,1,10-22-2025,2025-10-23,
O172333,C0155,Customer 155,P0476,9,2025-10-15,2025-10-24,Pay in 90 days
O172334,C0883,Customer 883,P0734,18,17/10/2025,10-21-2025,
O172335,C0312,Customer 312,P0463,2,2025-10-10,10-11-2025,Pay in 90 days
O172336,C0438,Customer 438,P0375,20,10-09-2025,10-11-2025,Inform customer once order is sent
O172337,C0464,Customer 464,P0391,6,10-25-2025,04/11/2025,Pay in 90 days
O172338,C0570,Customer 570,P0704,5,09/10/2025,2025-10-16,
